,fold,sampler,pvalue,loss
0,ind,ClassOrderSampler,0.0335416594061465,[     3.2628     0.20262  0.00039832      3.9203      3.6883   0.0015223      4.3106     0.89678     0.51501   2.861e-06     0.55056  1.5855e-05      1.5538      7.5561     0.14895      8.9021   0.0010166    0.069648      6.6916     0.31862]
0,ind,ClassOrderSampler,0.00396729438660086,[   0.075542     0.24381      1.5958      4.9618   0.0040865      6.4662    0.065232      4.1279  0.00085317      1.1002    0.014846      8.7669      5.0435      2.9828   0.0066217     0.11382     0.41057  3.6358e-05      3.0101       6.027]
0,ind,ClassOrderSampler,0.0335416594061465,[     0.0409      3.6017      3.9541    0.027982      3.9973      3.0542    0.042331      4.4156  2.3722e-05      5.1339  0.00010073      10.002      4.2415     0.11359   0.0041579    0.011567   7.987e-06      2.5507     0.22041     0.90477]
0,ind,ClassOrderSampler,0.012298612583953778,[   0.085348     0.42257  0.00015377      0.4501      8.3316   0.0015164     0.24501      5.9039     0.72088      3.9188      7.4702       0.374      9.2147     0.24492      0.8069      1.7155    0.011325      3.3142   0.0092369  7.1526e-07]
0,ind,ClassOrderSampler,0.012298612583953778,[     8.4244      5.0097      7.9771      2.3853   0.0026678     0.26531      1.3174  0.00026115  2.9802e-06    0.028567      3.2837      5.9888      1.6577      1.7793      2.2921  0.00095096      3.1585      7.2591    0.011348       2.757]
0,ind,ClassOrderSampler,0.012298612583953778,[    0.03263     0.55513   0.0075315      6.2432    0.065668      1.1238      6.0387     0.44563      2.9809      1.8433      4.5339   0.0014338  0.00027188      10.462   0.0015325     0.24626   0.0064254      5.4929       2.888      1.0607]
0,ind,ClassOrderSampler,0.012298612583953778,[      4.032      5.5704  0.00020204      6.3687      1.3772    0.066902   0.0039681   0.0051114  0.00043299      7.2599      9.0935    0.013743     0.13388     0.65386     0.27058  2.6106e-05  1.6332e-05      5.4512     0.26472      3.0594]
0,ind,ClassOrderSampler,0.0335416594061465,[  0.0073865  0.00011634      4.3481      6.5209     0.25622      2.8395      4.0145      5.8725   0.0017497      3.3866     0.67047     0.13087      1.9591      1.3028      3.7521  6.0914e-05   0.0046155    0.016574     0.10329  3.2782e-05]
0,ind,ClassOrderSampler,0.0335416594061465,[  0.0019071    0.037362    0.001611  0.00010085      2.9912      2.9086       2.031      4.6739      5.7717      3.6615       4.267      3.6729      4.3922  7.6294e-06   0.0040382    0.034874     0.60821   0.0026878   0.0031128      4.9926]
0,ind,ClassOrderSampler,0.012298612583953778,[ 2.6226e-06      2.0855     0.27208    0.028356  0.00077003   0.0034038     0.31147     0.37375      4.3661       4.658      3.2576      8.8946  0.00034028    0.026608      8.8103   0.0032862   0.0034546       0.151      4.0755      4.5091]
0,ind,ClassOrderSampler,0.012298612583953778,[ 0.00014745      6.4978     0.13155      2.8901  6.0556e-05     0.28426     0.22651      4.1387      1.9418     0.25769  5.3404e-05  0.00039248     0.05382       1.512      5.3598   0.0072701      2.2744      4.8315      3.7376     0.43697]
0,ind,ClassOrderSampler,0.0335416594061465,[     8.6109      3.2511      1.9913   0.0011732   0.0013777      1.3219      4.0497      6.2303  3.0756e-05  0.00095251      3.7858      2.1512  3.0994e-06      3.3991   1.359e-05      4.5167  2.7656e-05      2.7402       4.286     0.42478]
0,ind,ClassOrderSampler,0.00396729438660086,[  0.0061039      1.3945      4.6629     0.33576     0.63858    0.012641      7.4822      3.9089      4.3693      6.8698      1.4707      5.2599    0.019001     0.82213      0.4591     0.78929     0.40012    0.073844      2.7086      2.6297]
0,ind,ClassOrderSampler,0.012298612583953778,[    0.53257     0.14159      1.1124    0.072425     0.42363     0.02417  7.1526e-07  0.00076813     0.38577     0.36315     0.49178      1.1041      11.609       1.757    0.015572     0.16138      1.8176      2.9543  7.5576e-05      3.5001]
0,ind,ClassOrderSampler,0.0335416594061465,[    0.58622      1.0245      3.3478    0.016464     0.73734      0.2573   0.0010455   0.0068842      2.5726    0.016625    0.049023      3.9044    0.056485   0.0062145      4.3878      1.5458      3.1796      2.2087   0.0010072      1.5566]
0,ind,ClassOrderSampler,0.012298612583953778,[     2.9071  7.6768e-05     0.11022      3.4084       2.357  0.00068855      7.4366     0.18818      0.4362      5.5447   0.0008172     0.68649      1.4573      5.0203      3.0583      2.8547  4.2199e-05     0.73654      5.6686   0.0021988]
0,ind,ClassOrderSampler,0.00396729438660086,[     4.5687   2.861e-06      1.3368      1.8856      1.1135      0.1895  0.00047017      6.8502       2.047      1.7909       3.696      5.9797      3.4213      4.2594  3.3379e-06      2.1634    0.071554      3.6186       1.271   0.0079274]
0,ind,ClassOrderSampler,0.012298612583953778,[   0.015852     0.47504    0.006259   0.0023516      1.8401      4.3035  0.00011741      5.2414      4.3903       3.772      3.5563   0.0059687    0.051629       1.217     0.64976      1.2369    0.030743   0.0020227      4.1435      2.3922]
0,ind,ClassOrderSampler,0.0335416594061465,[     1.1576      0.2613     0.49498     0.69532     0.59579       7.151  2.9802e-05      2.3072    0.075092    0.038047      4.8402      3.7002     0.94568  1.2398e-05    0.012699      3.0735  0.00023458     0.21132    0.011153     0.31136]
0,ind,ClassOrderSampler,0.012298612583953778,[    0.00571      5.9623      6.7454  0.00019477      3.3611      2.3366      6.0233      6.1493      5.5783      2.8194      3.2767     0.14319      4.0164    0.003954    0.053512      1.2735      6.5251     0.02733     0.81585     0.11111]
0,ind,ClassOrderSampler,0.012298612583953778,[ 0.00048244  0.00020657    0.049523  0.00036757      6.5656   0.0017776       2.016    0.023106   0.0079967      1.2986      6.4392  3.0994e-06     0.58258     0.94278      1.9698  0.00043609     0.49076  0.00053427      4.2311    0.036215]
0,ind,ClassOrderSampler,0.012298612583953778,[    0.11037   0.0040347    0.016242  0.00016652  0.00095453       1.361      7.9932      1.6255     0.34141      2.1517  2.6822e-05   0.0057581      1.7753      3.6997    0.060262      1.0202  0.00027271      0.0696       1.536      8.7724]
0,ind,ClassOrderSampler,0.0335416594061465,[    0.99271     0.85875  1.7643e-05    0.067082      10.016      0.5361      7.8838       6.688    0.019971     0.01341      7.9484      1.9282     0.42969  0.00012016   0.0093828   0.0025025      1.7563        7.41     0.18806  0.00067867]
0,ind,ClassOrderSampler,0.00396729438660086,[    0.57005      8.0868  0.00046207     0.04007      7.0206  0.00040892  3.5763e-07      4.3286      4.9361      11.494    0.060652  4.0173e-05  5.2451e-05   0.0017057  0.00021038    0.013721       2.524      5.6986     0.80344      7.2998]
0,ind,ClassOrderSampler,0.012298612583953778,[ 0.00033016     0.13955     0.21109      0.1283      4.2679      1.7244  3.3736e-05      5.3423      7.3176   0.0045378  0.00012814      1.8181   0.0017462       2.153     0.02085      4.7284      3.0942     0.19949     0.01879      7.9409]
0,ind,ClassOrderSampler,0.0335416594061465,[     2.2492     0.14196     0.71188      3.1484      5.7503      2.6405      5.7038     0.94904   0.0016122     0.23075  2.3842e-06    0.021123      2.9902     0.11055    0.085068      4.7513  2.6464e-05     0.63306   1.061e-05    0.013486]
0,ind,ClassOrderSampler,0.012298612583953778,[     2.6345      7.0932      2.0951   0.0032816  0.00029941   0.0029901   0.0022788       4.732      4.9462  0.00034624      4.3449  0.00066652      4.5888     0.51503  0.00018142  0.00014399     0.47191  0.00024781      1.2089      1.1068]
0,ind,ClassOrderSampler,0.001115801546231492,[     2.8887     0.20088      12.441   0.0031648      1.8232     0.16834     0.92555   0.0017401      6.1707       3.096      1.5772     0.15184      1.0059  2.5153e-05       7.313    0.010728     0.14762      1.0125      1.3734      4.0167]
0,ind,ClassOrderSampler,0.00396729438660086,[     1.3814     0.74408      1.0545    0.066773     0.72489      4.9857     0.11998     0.87759      2.7115     0.12475    0.014107  0.00017558     0.71767      3.8291      2.2888       2.505     0.23769   0.0004063      5.2408      3.5853]
0,ind,ClassOrderSampler,0.00396729438660086,[   0.072092         3.6       2.715   0.0094633    0.030042    0.085299      4.8878      5.6156   0.0060576      1.3588       2.714      4.5804     0.22617  4.8517e-05    0.065853      1.8928  8.8214e-06      1.9137      3.2975      3.4529]
